UserID,CourseID,Course Name,Response,Recommendation,Category
6,CSCI-A541,COMPUTING AND TECHNOLOGY BOOTCAMP,P,1,Database Developer
6,CSCI-A592,INTRODUCTION TO SOFTWARE SYSTEMS,K,0,Data Scientist
6,CSCI-A593,COMPUTER STRUCTURES,DK,1,Database Developer
6,CSCI-A594,DATA STRUCTURES,K,0,Data Scientist
6,CSCI-A597,INTRODUCTION TO PROGRAMMING I,P,1,Data Scientist
6,CSCI-B392,COMPETITIVE PROGRAMMING,P,1,Database Developer
6,CSCI-B503,ALGORITHMS DESIGN AND ANALYSIS,K,0,Data Scientist
6,CSCI-B544,SECURITY FOR NETWORKED SYSTEMS,DK,1,Cyber Security Analyst
6,CSCI-B555,MACHINE LEARNING,K,0,Database Developer
6,CSCI-B565,DATA MINING,DK,1,Cyber Security Analyst
6,CSCI-B599,TEACHING IN COMPUTER SCIENCE,K,0,Database Developer
6,CSCI-C211,INTRODUCTION TO COMPUTER SCIENCE,P,1,Database Developer
6,CSCI-C212,INTRODUCTION TO SOFTWARE SYSTEMS,K,0,Database Developer
6,CSCI-C292,INTRODUCTION TO GAME PROGRAMMING,K,0,Cyber Security Analyst
6,CSCI-C311,PROGRAMMING LANGUAGES,K,0,Cyber Security Analyst
6,CSCI-P438,INTRODUCTION TO COMPUTER NETWORKS,P,1,Data Scientist
6,CSCI-P465,SOFTWARE ENGINEERING FOR INFORMATION SYSTEMS I,K,0,Data Scientist
6,CSCI-P532,OBJECTORIENTED SOFTWARE DEVELOPMENT,K,0,Database Developer
6,CSCI-P538,COMPUTER NETWORKS,P,1,Database Developer
6,CSCI-P565,SOFTWARE ENGINEERING I,K,0,Database Developer
6,ENGR-E311,CIRCUITS AND DIGITAL SYSTEMS,K,0,Cyber Security Analyst
6,ENGR-E313,ENGINEERING COMPILERS,P,1,Cyber Security Analyst
6,ENGR-E451,SIMULATING NANOSCALE SYSTEMS,K,0,Data Scientist
6,ENGR-E484,SCIENTIFIC VISUALIZATION,P,1,Data Scientist
6,ENGR-E518,ENGINEERING NETWORKS,K,0,Cyber Security Analyst
6,ILS-Z115,FROM JAMES BOND TO ZOMBIE APOCALYPSE AND NSA LEAKS: EVALUATING INFORMATION AND INTELLIGENCE,K,0,Cyber Security Analyst
6,ILS-Z581,ARCHIVES AND RECORDS MANAGEMENT,DK,1,Cyber Security Analyst
6,ILS-Z636,DATA SEMANTICS,K,0,Data Scientist
6,ILS-Z642,CONTENT ANALYSIS FOR THE WEB,K,0,Data Scientist
6,INFO-I101,INTRODUCTION TO INFORMATICS,DK,1,Cyber Security Analyst
